Season,game Number,Week,Player,Team,Opposing Team,Position,goals,uaGoals,uaShots,uaS%,assistedGoals,assistedShots,assistedS%,% of Shots Assisted,shots,settledGoals,settledShots,settledSh%,fbGoals,subGoals,ppGoals,assists,assistOpportunities,dodgeAssists,pnrAssists,settledAssists,fbAssists,ppAssists,sh%Created,AO-to-SH Ratio,secondAssists,secondAo,sog,offShots,blockedShots,messyShots,pipeShots,shotClockResets,cleanSaveShots,shotTurnovers,turnovers,TO + Shot TO,AO-to-TO Ratio,rhGoals,rhShots,rhS%,lhGoals,lhShots,lhSh%,doorstepGoals,holeGoals,lpGoals,lwGoals,mGoals,rwGoals,rpGoals,twoPointGoals,doorstepShots,holeShots,lpShots,lwShots,mShots,rwShots,rpShots,twoPointShots,xg,playerId,teamId
2019,2,1,Connor Kelly,Whipsnakes,Chaos,M,1,1,2,50.00%,0,1,0.00%,33.33%,3,1,3,33%,0,0,0,0,0,0,0,0,0,0,0.00%,0.00,0,0,1,1,0,0,1,0,1,1,0,1,0.00,1,3,33.33%,0,0,0.00%,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0.4,000339,WHP
2019,2,1,Mark Glicini,Chaos,Whipsnakes,M,0,0,0,0.00%,0,2,0.00%,100.00%,2,0,0,0%,0,0,0,0,0,0,0,0,0,0,0.00%,0.00,0,0,1,1,0,1,1,0,0,1,0,1,0.00,0,2,0.00%,0,0,0.00%,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.7,000275,CHA
2019,2,1,Troy Reh,Chaos,Whipsnakes,LSM,1,0,1,0.00%,1,1,100.00%,50.00%,2,0,0,0%,1,0,0,0,1,0,0,0,0,0,0.00%,0.50,0,0,2,0,0,1,0,0,0,1,0,1,0.00,1,2,50.00%,0,0,0.00%,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.7,000281,CHA
2019,2,1,Joe Nardella,Whipsnakes,Chaos,FO,0,0,3,0.00%,0,0,0.00%,0.00%,3,0,0,0%,0,0,0,0,1,0,0,0,0,0,0.00%,0.33,1,1,1,2,0,1,2,0,0,1,0,1,0.00,0,3,0.00%,0,0,0.00%,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1.1,000350,WHP
2019,2,1,Tommy Kelly,Chaos,Whipsnakes,FO,1,1,1,100.00%,0,0,0.00%,0.00%,1,0,0,0%,1,0,0,0,0,0,0,0,0,0,0.00%,0.00,0,0,1,0,0,0,0,0,0,0,2,2,0.00,1,1,100.00%,0,0,0.00%,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.1,000280,CHA
2019,2,1,Deemer Class,Chaos,Whipsnakes,M,1,1,2,50.00%,0,1,0.00%,33.33%,3,1,2,50%,0,0,0,1,1,0,0,0,1,0,100.00%,0.33,1,1,2,1,0,1,1,0,0,1,0,1,0.00,0,1,0.00%,1,2,50.00%,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0.6,000265,CHA
2019,2,1,Bryce Young,Whipsnakes,Chaos,D,0,0,0,0.00%,0,0,0.00%,0.00%,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0.00%,0.00,0,0,0,0,0,0,0,0,0,0,1,1,0.00,0,0,0.00%,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,000337,WHP
2019,2,1,Jeremy Thompson,Chaos,Whipsnakes,M,0,0,1,0.00%,0,0,0.00%,0.00%,1,0,0,0%,0,0,0,0,0,0,0,0,0,0,0.00%,0.00,0,0,0,0,0,0,0,0,1,1,0,1,0.00,0,1,0.00%,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,000270,CHA
2019,2,1,John Haus,Whipsnakes,Chaos,M,0,0,1,0.00%,0,0,0.00%,0.00%,1,0,1,0%,0,0,0,0,0,0,0,0,0,0,0.00%,0.00,0,0,0,1,0,0,1,0,0,0,1,1,0.00,0,1,0.00%,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.3,000372,WHP
2019,2,1,Jack Rowlett,Chaos,Whipsnakes,D,0,0,0,0.00%,0,0,0.00%,0.00%,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0.00%,0.00,1,1,0,0,0,0,0,0,0,0,1,1,0.00,0,0,0.00%,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,000365,CHA
2019,3,1,Ryan Conrad,Atlas,Redwoods,M,0,0,1,0.00%,0,0,0.00%,0.00%,1,0,0,0%,0,0,0,0,3,0,0,0,0,0,0.00%,3.00,2,3,0,1,0,0,1,0,0,1,0,1,0.00,0,0,0.00%,0,1,0.00%,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.2,000363,ATL
2019,3,1,Matt Kavanagh,Redwoods,Atlas,A,2,0,6,0.00%,2,5,40.00%,45.45%,11,0,5,0%,1,0,0,1,3,0,0,0,0,0,33.33%,0.27,0,0,5,3,1,3,3,0,2,7,0,7,0.00,0,0,0.00%,2,11,18.18%,2,0,0,0,0,0,0,0,4,2,0,1,1,2,1,0,3.9,000327,RED
2019,3,1,Paul Rabil,Atlas,Redwoods,#VALUE!,1,1,4,25.00%,0,0,0.00%,0.00%,4,1,3,33%,0,0,0,1,3,0,0,0,1,0,33.33%,0.75,0,0,1,2,0,0,2,0,1,3,1,4,3.00,1,3,33.33%,0,1,0.00%,0,0,0,1,0,0,0,0,0,0,0,2,0,1,1,0,0.9,000245,ATL
2019,3,1,Joey Sankey,Redwoods,Atlas,#VALUE!,1,0,5,0.00%,1,3,33.33%,37.50%,8,1,5,20%,0,0,0,1,4,0,0,0,1,0,25.00%,0.50,0,2,2,4,0,1,4,1,2,2,3,5,1.33,1,1,100.00%,0,7,0.00%,0,1,0,0,0,0,0,0,0,2,0,0,0,4,2,0,3.1,000320,RED
2019,3,1,Kyle Hartzell,Atlas,Redwoods,D,0,0,2,0.00%,0,0,0.00%,0.00%,2,0,0,0%,0,0,0,0,0,0,0,0,0,0,0.00%,0.00,0,0,0,2,0,0,2,0,0,0,0,0,0.00,0,2,0.00%,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.2,000242,ATL
2019,3,1,Ryan Brown,Atlas,Redwoods,A,2,0,2,0.00%,2,5,40.00%,71.43%,7,2,6,33%,0,0,0,0,0,0,0,0,0,0,0.00%,0.00,0,1,3,1,1,1,1,1,2,2,1,3,0.00,2,5,40.00%,0,2,0.00%,0,1,0,1,0,0,0,0,0,1,1,1,1,0,1,2,1.7,000246,ATL
2019,3,1,Brian Karalunas,Redwoods,Atlas,LSM,0,0,0,0.00%,0,1,0.00%,100.00%,1,0,0,0%,0,0,0,0,0,0,0,0,0,0,0.00%,0.00,0,0,1,0,0,1,0,0,0,1,0,1,0.00,0,0,0.00%,0,1,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.3,000312,RED
2019,3,1,Eric Law,Atlas,Redwoods,A,2,0,1,0.00%,2,3,66.67%,75.00%,4,1,2,50%,1,0,0,1,2,0,0,1,0,0,50.00%,0.50,0,0,4,0,0,2,0,0,0,2,2,4,1.00,1,2,50.00%,1,2,50.00%,2,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,2.6,000234,ATL
